id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Strings,Avery Hall,classical,peaceful,0.24,66,0.52,0.30,0.95
12,City Crown,Rhyme District,hip hop,confident,0.84,96,0.70,0.86,0.12
13,Old River Road,Juniper Miles,folk,reflective,0.43,88,0.58,0.51,0.83
14,Electric Horizon,Nova Circuit,electronic,euphoric,0.89,128,0.88,0.90,0.07
15,Summer Salsa,Luna Mercado,latin,playful,0.81,104,0.91,0.94,0.16
16,Velvet Letters,Harbor Blue,r&b,romantic,0.55,84,0.74,0.69,0.42
17,Dusty Polaroid,Cedar County,country,nostalgic,0.50,94,0.63,0.57,0.72
